See https://www.sciencedirect.com/science/article/abs/pii/S0019103523004001
Optical depth (tau) as measured with MSL Mastcam by Mark Lemmon, MLemmon@SpaceScience.org
L7, M34, 880-nm
Generated: Wed Sep 20 10:01:49 2023
(Values of -1 indicate absence of validated data)
Lines of data in this table:         1938
*************************************************************
                    Product_ID,      Sol,   L_s,   tau, sigma
1920ML0099810010704396D01_DXXX,1920.3406, 108.2, 0.440, 0.017
1921ML0100270010704402D01_DXXX,1921.5552, 108.7, 0.466, 0.029
1923ML0100370010704459D01_DXXX,1923.5050, 109.6, 0.477, 0.031
1924ML0100410010704472D01_DXXX,1924.2793, 110.0, 0.463, 0.026
1925ML0100460010704509D01_DXXX,1925.5209, 110.6, 0.430, 0.031
1929ML0100650010704528D01_DXXX,1929.3629, 112.4, 0.490, 0.020
1930ML0100700010704560D01_DXXX,1930.4119, 112.9, 0.502, 0.027
1930ML0100720010704567D01_DXXX,1930.5298, 113.0, 0.435, 0.031
1930ML0100780010704600D01_DXXX,1930.6807, 113.0, 0.460, 0.014
1933ML0100960010704761D01_DXXX,1933.5269, 114.4, 0.455, 0.031
1936ML0101090010704874D01_DXXX,1936.5664, 115.8, 0.419, 0.029
1937ML0101110010704880D01_DXXX,1937.3914, 116.2, 0.449, 0.024
1937ML0101170010704883D01_DXXX,1937.5953, 116.3, 0.421, 0.026
1938ML0101300010704889D01_DXXX,1938.5631, 116.8, 0.430, 0.029
1939ML0101370010704928D01_DXXX,1939.6326, 117.3, 0.420, 0.021
1940ML0101470010704995D01_DXXX,1940.5682, 117.7, 0.407, 0.029
1943ML0101520010705012D01_DXXX,1943.3960, 119.1, 0.451, 0.025
1943ML0101560010705015D01_DXXX,1943.6066, 119.2, 0.379, 0.025
1946ML0101710010705124D01_DXXX,1946.5449, 120.6, 0.414, 0.030
1949ML0101840010705162D01_DXXX,1949.4825, 122.0, 0.404, 0.032
1949ML0101910010705182D01_DXXX,1949.6438, 122.1, 0.353, 0.020
1950ML0101930010705188D01_DXXX,1950.3765, 122.4, 0.444, 0.023
1953ML0102180010605239D01_DXXX,1953.5000, 124.0, 0.337, 0.032
1957ML0102300010605266D01_DXXX,1957.3168, 125.8, 0.422, 0.014
1958ML0102420010605323D01_DXXX,1958.5212, 126.4, 0.359, 0.032
1960ML0102490010605347D01_DXXX,1960.3516, 127.3, 0.406, 0.019
1960ML0102510010605350D01_DXXX,1960.6062, 127.4, 0.364, 0.025
1965ML0102780010605581D01_DXXX,1965.5945, 129.9, 0.355, 0.027
1971ML0103090010605635D01_DXXX,1971.2887, 132.7, 0.346, 0.017
1971ML0103120010605641D01_DXXX,1971.5486, 132.8, 0.355, 0.031
1974ML0103180010605797D01_DXXX,1974.6102, 134.4, 0.350, 0.025
1976ML0103260010605802D01_DXXX,1976.3197, 135.2, 0.343, 0.015
1976ML0103330010605807D01_DXXX,1976.5464, 135.3, 0.387, 0.031
1976ML0103350010605813D01_DXXX,1976.7057, 135.4, 0.373, 0.015
1978ML0103400010605821D01_DXXX,1978.4722, 136.3, 0.388, 0.032
1981ML0103720010605875D01_DXXX,1981.2925, 137.7, 0.362, 0.015
1981ML0103770010605878D01_DXXX,1981.5990, 137.9, 0.358, 0.027
1985ML0104030010605917D01_DXXX,1985.5549, 139.9, 0.391, 0.031
1990ML0104300010506067D01_DXXX,1990.2977, 142.3, 0.399, 0.014
1990ML0104320010506070D01_DXXX,1990.6107, 142.5, 0.539, 0.026
1994ML0104470010506095D01_DXXX,1994.5618, 144.5, 0.521, 0.031
1997ML0104670010306303D01_DXXX,1997.3279, 145.9, 0.424, 0.016
1997ML0104690010306309D01_DXXX,1997.5458, 146.0, 0.494, 0.032
1999ML0104800010306387D01_DXXX,1999.5111, 147.1, 0.542, 0.033
2003ML0105110010306473D01_DXXX,2003.3414, 149.1, 0.554, 0.018
2003ML0105130010306479D01_DXXX,2003.4668, 149.1, 0.669, 0.033
2005ML0105250010306537D01_DXXX,2005.5090, 150.2, 0.601, 0.034
2010ML0105880010306834D01_DXXX,2010.3174, 152.8, 0.527, 0.015
2010ML0105910010306838D01_DXXX,2010.6682, 153.0, 0.579, 0.017
2012ML0106030010800013D01_DXXX,2012.6689, 154.0, 0.622, 0.017
2012ML0106050010800016D01_DXXX,2012.7253, 154.0, 0.596, 0.026
2012ML0106050030800017D01_DXXX,2012.7272, 154.0, 0.599, 0.029
2012ML0106050050800018D01_DXXX,2012.7289, 154.0, 0.579, 0.032
2012ML0106050070800019D01_DXXX,2012.7307, 154.0, 0.562, 0.035
2012ML0106050090800020D01_DXXX,2012.7324, 154.0, 0.561, 0.039
2012ML0106050110800021D01_DXXX,2012.7343, 154.0, 0.564, 0.044
2012ML0106050130800022D01_DXXX,2012.7360, 154.0, 0.566, 0.051
2013ML0106060010800025D01_DXXX,2013.4728, 154.4, 0.615, 0.033
2017ML0106380010800165D01_DXXX,2017.2933, 156.5, 0.595, 0.014
2017ML0106420010800178D01_DXXX,2017.6746, 156.7, 0.634, 0.016
2021ML0106600010800196D01_DXXX,2021.3904, 158.7, 0.653, 0.026
2021ML0106620010800199D01_DXXX,2021.5254, 158.8, 0.678, 0.034
2024ML0106850010800241D01_DXXX,2024.6042, 160.4, 0.739, 0.028
2028ML0107060010800293D01_DXXX,2028.5928, 162.6, 0.683, 0.029
2030ML0107220010800354D01_DXXX,2030.6560, 163.8, 0.820, 0.020
2031ML0107250010800425D01_DXXX,2031.3341, 164.1, 0.823, 0.018
2035ML0107450010800489D01_DXXX,2035.6483, 166.5, 0.663, 0.022
2036ML0107560010800564D01_DXXX,2036.5835, 167.0, 0.753, 0.031
2037ML0107590010800575D01_DXXX,2037.3386, 167.5, 0.702, 0.019
2038ML0107640010800596D01_DXXX,2038.5985, 168.2, 0.550, 0.030
2040ML0107790010800675D01_DXXX,2040.6534, 169.3, 0.556, 0.020
2043ML0108130010800740D01_DXXX,2043.6864, 171.0, 0.581, 0.015
2044ML0108150010800746D01_DXXX,2044.3229, 171.4, 0.730, 0.016
2051ML0108690010800843D01_DXXX,2051.6147, 175.5, 0.678, 0.028
2054ML0108850010800869D01_DXXX,2054.6389, 177.2, 0.800, 0.023
2055ML0108810010800880D01_DXXX,2055.3789, 177.7, 0.897, 0.026
2055ML0108820010800882D01_DXXX,2055.7192, 177.8, 0.755, 0.018
2056ML0108830010800884D01_DXXX,2056.3057, 178.2, 0.782, 0.014
2056ML0109060010800911D01_DXXX,2056.5967, 178.4, 0.770, 0.030
2057ML0109080010800914D01_DXXX,2057.3027, 178.8, 0.761, 0.013
2060ML0109230010800940D01_DXXX,2060.7290, 180.8, 0.681, 0.028
2060ML0109230030800941D01_DXXX,2060.7310, 180.8, 0.674, 0.030
2060ML0109230050800942D01_DXXX,2060.7327, 180.8, 0.675, 0.033
2060ML0109230070800943D01_DXXX,2060.7344, 180.8, 0.683, 0.037
2060ML0109230090800944D01_DXXX,2060.7361, 180.8, 0.677, 0.042
2060ML0109230110800945D01_DXXX,2060.7378, 180.8, 0.671, 0.047
2060ML0109230130800946D01_DXXX,2060.7397, 180.8, 0.666, 0.054
2062ML0109350010800970D01_DXXX,2062.6487, 181.9, 0.684, 0.022
2065ML0109560010800979D01_DXXX,2065.3213, 183.4, 0.769, 0.016
2065ML0109670010800985D01_DXXX,2065.6780, 183.6, 0.681, 0.016
2069ML0109810010801058D01_DXXX,2069.2915, 185.8, 0.738, 0.014
2070ML0109890010801069D01_DXXX,2070.6414, 186.5, 0.759, 0.023
2072ML0109930010801079D01_DXXX,2072.6172, 187.7, 0.683, 0.028
2073ML0109990010801207D01_DXXX,2073.6050, 188.3, 0.626, 0.029
2074ML0110010010801209D01_DXXX,2074.6489, 188.9, 0.692, 0.022
2075ML0110240010801214D01_DXXX,2075.6553, 189.5, 0.820, 0.021
2076ML0110260010801220D01_DXXX,2076.6606, 190.1, 1.103, 0.020
2077ML0110280010801226D01_DXXX,2077.3457, 190.5, 1.850, 0.023
2077ML0110340010801232D01_DXXX,2077.6587, 190.7, 1.378, 0.020
2079ML0110370010801338D01_DXXX,2079.6323, 191.9, 1.440, 0.025
2080ML0110480010801347D01_DXXX,2080.6919, 192.5, 1.600, 0.014
2081ML0110680010801461D01_DXX7,2081.5847, 193.1, 2.214, 0.031
2082ML0110700010801467D01_DXX7,2082.5918, 193.7, 3.405, 0.031
2083ML0110890010801470D01_DXX7,2083.5918, 194.3, 3.990, 0.030
2084ML0110940010801476C00_DXX7,2084.3904, 194.8, 7.325, 0.281
2084ML0111070010801496C00_DXX7,2084.6467, 194.9, 7.136, 0.250
2085ML0111090010801502C00_DXX7,2085.5842, 195.5, 8.589, 0.566
2086ML0111130010801510C00_DXX7,2086.6387, 196.1, 7.673, 0.099
2086ML0111130020801511D01_DXX5,2086.6389, 196.1, 7.695, 0.025
2087ML0111180010801591D01_DXX7,2087.4338, 196.6, 7.554, 0.034
2087ML0111210010801602C00_DXX7,2087.6292, 196.7, 6.984, 0.046
2087ML0111210020801603D01_DXX5,2087.6294, 196.7, 6.983, 0.024
2087ML0111230010801606D01_DXX5,2087.6680, 196.7, 7.080, 0.020
2088ML0111250010801612D01_DXX7,2088.4529, 197.2, 7.430, 0.037
2089ML0111310010801629D01_DXX7,2089.5737, 197.9, 6.902, 0.032
2089ML0111320010801634C00_DXX7,2089.6389, 197.9, 7.166, 0.077
2089ML0111320020801635D01_DXX5,2089.6392, 197.9, 7.154, 0.023
2090ML0111390010801652D01_DXX7,2090.5518, 198.5, 6.983, 0.034
2091ML0111520010801662C00_DXX7,2091.3374, 199.0, 6.698, 0.066
2091ML0111520020801663D01_DXX5,2091.3379, 199.0, 6.735, 0.021
2092ML0111600010801689D01_DXX5,2092.6711, 199.8, 6.050, 0.018
2093ML0111670010801783D01_DXX7,2093.5962, 200.3, 6.447, 0.030
2093ML0111690020801790D01_DXX5,2093.6726, 200.4, 6.558, 0.018
2094ML0111720010801803D01_DXX7,2094.5969, 201.0, 6.585, 0.030
2095ML0111770010801810D01_DXX7,2095.5557, 201.5, 6.432, 0.034
2096ML0111810010801823D01_DXX7,2096.6233, 202.2, 6.063, 0.027
2097ML0111900050801921D01_DXX5,2097.6851, 202.9, 6.223, 0.015
2097ML0111900060801922D02_DXX5,2097.6853, 202.9, 6.241, 0.015
2098ML0111940010801940D01_DXX5,2098.6650, 203.5, 6.486, 0.019
2099ML0111970010801947D01_DXX5,2099.3203, 203.9, 6.865, 0.017
2100ML0112110050801968D01_DXX5,2100.6680, 204.7, 6.059, 0.018
2101ML0112150010801998D01_DXX5,2101.6316, 205.3, 5.735, 0.024
2102ML0112170010802004D01_DXX7,2102.4417, 205.8, 5.896, 0.034
2103ML0112260010802023D01_DXX5,2103.6646, 206.5, 5.496, 0.019
2107ML0112380010802168D01_DXX5,2107.3357, 208.8, 6.426, 0.019
2107ML0112460010802181D01_DXX7,2107.6436, 209.0, 5.419, 0.024
2108ML0112490010802186D01_DXX7,2108.5703, 209.6, 5.505, 0.035
2108ML0112520010802198D01_DXX5,2108.7029, 209.7, 5.348, 0.021
2109ML0112650010802207C00_DXX7,2109.6543, 210.3, 5.297, 0.025
2109ML0112650020802208D01_DXX5,2109.6545, 210.3, 5.305, 0.020
2110ML0112730010802233D01_DXX5,2110.6929, 210.9, 5.463, 0.015
2111ML0112750010802239C00_DXX7,2111.3357, 211.3, 6.090, 0.071
2111ML0112750020802240D01_DXX5,2111.3362, 211.3, 6.073, 0.030
2111ML0112820010802247D01_DXX7,2111.6243, 211.5, 5.208, 0.025
2112ML0112850010802287D01_DXX5,2112.6853, 212.2, 4.829, 0.015
2113ML0112960010802309D01_DXX7,2113.6099, 212.8, 4.855, 0.027
2114ML0113140010802329D01_DXX7,2114.6562, 213.4, 4.904, 0.022
2115ML0113230010802362D01_DXX7,2115.6460, 214.0, 4.916, 0.022
2116ML0113270010802369D01_DXX5,2116.3057, 214.5, 5.673, 0.017
2116ML0113290010802375D01_DXX7,2116.4058, 214.5, 5.191, 0.030
2116ML0113340010802391C00_DXX7,2116.6272, 214.7, 4.775, 0.025
2117ML0113370010802398D01_DXX5,2117.2979, 215.1, 5.313, 0.013
2117ML0113430010802405C00_DXX7,2117.5532, 215.2, 4.487, 0.033
2118ML0113450010802411C00_DXX7,2118.3103, 215.7, 5.167, 0.058
2118ML0113450020802412D01_DXX5,2118.3108, 215.7, 5.146, 0.016
2119ML0113480010802422C00_DXX7,2119.6077, 216.5, 4.221, 0.027
2123ML0113750010802516C00_DXX7,2123.6482, 219.1, 3.894, 0.021
2124ML0113790010802533C00_DXX7,2124.6296, 219.7, 3.993, 0.025
2125ML0113810010802539C00_DXX7,2125.3889, 220.2, 4.268, 0.028
2125ML0113950010802553C00_DXX7,2125.6912, 220.4, 3.907, 0.028
2125ML0113950020802554D01_DXX5,2125.6917, 220.4, 3.897, 0.015
2129ML0114080010802574C00_DXX7,2129.4968, 222.8, 3.579, 0.035
2129ML0114110010802586C00_DXX7,2129.6636, 222.9, 3.485, 0.019
2133ML0114370010802637D01_DXX5,2133.2979, 225.3, 3.387, 0.015
2133ML0114390010802643C00_DXX7,2133.6799, 225.5, 3.007, 0.016
2137ML0114640010802855C00_DXX7,2137.6472, 228.1, 2.910, 0.021
2139ML0114780010802943C00_DXX7,2139.6741, 229.4, 2.545, 0.017
2140ML0114820010802949D01_DXX5,2140.2898, 229.8, 2.608, 0.014
2143ML0115040010802957C00_DXX7,2143.6428, 231.9, 2.330, 0.022
2144ML0115070010802997D01_DXX5,2144.2864, 232.3, 2.745, 0.018
2144ML0115140010803003C00_DXX7,2144.5325, 232.5, 2.435, 0.034
2146ML0115220010803009C00_DXX7,2146.2927, 233.6, 2.563, 0.015
2146ML0115260010803019C00_DXX7,2146.6641, 233.9, 2.263, 0.019
2148ML0115420010803051C00_DXX7,2148.6096, 235.2, 2.178, 0.027
2149ML0115440010803057C00_DXX7,2149.4412, 235.7, 2.060, 0.032
2149ML0115490010803063C00_DXX7,2149.6709, 235.8, 1.999, 0.017
2151ML0114660010803069C00_DXX7,2151.7212, 237.2, 1.953, 0.018
2153ML0115850010803072C00_DXX7,2153.3328, 238.2, 2.175, 0.018
2153ML0115950010803142C00_DXX7,2153.5845, 238.4, 1.981, 0.030
2154ML0114670010803150C00_DXX7,2154.7144, 239.1, 1.870, 0.015
2156ML0116190010803196C00_DXX7,2156.6475, 240.4, 1.875, 0.021
2162ML0116430010803510C00_DXX7,2162.6492, 244.3, 1.562, 0.021
2163ML0116450010803580C00_DXX7,2163.2869, 244.7, 1.841, 0.014
2165ML0116640010803740C00_DXX7,2165.6636, 246.2, 1.449, 0.018
2167ML0116690030803878C00_DXX7,2167.3225, 247.3, 1.712, 0.016
2167ML0116710010803881C00_DXX7,2167.5867, 247.5, 1.563, 0.030
2170ML0116900010803926C00_DXX7,2170.7139, 249.5, 1.518, 0.014
2171ML0117000010803961C00_DXXX,2171.6506, 250.1, 1.423, 0.021
2173ML0095220000803975C00_DXXX,2173.2944, 251.2, 1.594, 0.014
2174ML0095220000803990I01_DXXX,2174.7144, 252.1, 1.288, 0.015
2211ML0117260010803992C00_DXXX,2211.4512, 276.0, 0.970, 0.032
2212ML0117330010804040C00_DXXX,2212.5854, 276.7, 0.953, 0.029
2213ML0117350010804046C00_DXXX,2213.4778, 277.3, 1.019, 0.033
2213ML0117360010804051C00_DXXX,2213.6594, 277.4, 0.990, 0.019
2214ML0117380010804121C00_DXXX,2214.3159, 277.8, 1.135, 0.015
2215ML0117420010804138C00_DXXX,2215.5708, 278.6, 0.987, 0.031
2217ML0117500010804164C00_DXXX,2217.5610, 279.9, 1.006, 0.031
2219ML0117590010804179C00_DXXX,2219.5295, 281.2, 0.953, 0.033
2222ML0117700010804191C00_DXXX,2222.3484, 283.0, 1.025, 0.020
2225ML0117930010804242C00_DXXX,2225.4910, 284.9, 0.945, 0.033
2227ML0118100010804259C00_DXXX,2227.6902, 286.3, 0.895, 0.014
2228ML0118130010804330C00_DXXX,2228.2954, 286.7, 1.015, 0.014
2228ML0118140010804335C00_DXXX,2228.4739, 286.8, 0.961, 0.033
2230ML0118300010804362C00_DXXX,2230.5300, 288.1, 0.847, 0.033
2230ML0118310010804364C00_DXXX,2230.7341, 288.2, 0.876, 0.029
2230ML0118310030804365C00_DXXX,2230.7358, 288.3, 0.873, 0.032
2230ML0118310050804366C00_DXXX,2230.7375, 288.3, 0.870, 0.035
2230ML0118310070804367C00_DXXX,2230.7395, 288.3, 0.863, 0.039
2230ML0118310090804368C00_DXXX,2230.7412, 288.3, 0.857, 0.043
2230ML0118310110804369C00_DXXX,2230.7429, 288.3, 0.855, 0.049
2230ML0118310130804370C00_DXXX,2230.7446, 288.3, 0.862, 0.055
2231ML0118350010804374C00_DXXX,2231.4814, 288.7, 0.831, 0.033
2233ML0118590010804404C00_DXXX,2233.7458, 290.2, 0.784, 0.060
2234ML0118630010804414C00_DXXX,2234.2832, 290.5, 0.886, 0.015
2234ML0118630030804415C00_DXXX,2234.2849, 290.5, 0.889, 0.015
2234ML0118630050804416C00_DXXX,2234.2866, 290.5, 0.893, 0.014
2234ML0118630070804417C00_DXXX,2234.2883, 290.5, 0.888, 0.014
2234ML0118630090804418C00_DXXX,2234.2900, 290.5, 0.891, 0.014
2234ML0118630110804419C00_DXXX,2234.2917, 290.5, 0.897, 0.014
2234ML0118630130804420C00_DXXX,2234.2932, 290.5, 0.901, 0.013
2234ML0118710010804422C00_DXXX,2234.6489, 290.7, 0.775, 0.021
2239ML0119150010804450C00_DXXX,2239.3130, 293.6, 0.970, 0.015
2239ML0119230010804456C00_DXXX,2239.6057, 293.8, 0.851, 0.027
2240ML0119320010804495C00_DXXX,2240.4668, 294.3, 0.863, 0.033
2242ML0119740010804501C00_DXXX,2242.4199, 295.6, 0.903, 0.030
2243ML0119860010804513C00_DXXX,2243.5410, 296.3, 0.823, 0.033
2246ML0120220030804559I01_DXXX,2246.5483, 298.1, 0.739, 0.035
2248ML0120310010804576C00_DXXX,2248.2954, 299.2, 0.848, 0.013
2248ML0120330010804582C00_DXXX,2248.6187, 299.4, 0.818, 0.026
2253ML0120500010804657C00_DXXX,2253.4058, 302.3, 0.898, 0.028
2253ML0120520010804660C00_DXXX,2253.6665, 302.5, 0.823, 0.018
2254ML0120560010804730C00_DXXX,2254.6018, 303.1, 0.807, 0.028
2255ML0120650010804736C00_DXXX,2255.2905, 303.5, 0.890, 0.014
2255ML0120720010804776C00_DXXX,2255.6201, 303.7, 0.778, 0.026
2255ML0120740010804784C00_DXXX,2255.7380, 303.8, 0.763, 0.037
2255ML0120740030804785C00_DXXX,2255.7393, 303.8, 0.762, 0.039
2255ML0120740050804786C00_DXXX,2255.7405, 303.8, 0.764, 0.042
2255ML0120740070804787C00_DXXX,2255.7415, 303.8, 0.761, 0.046
2255ML0120740090804788C00_DXXX,2255.7427, 303.8, 0.763, 0.049
2255ML0120740110804789C00_DXXX,2255.7437, 303.8, 0.761, 0.054
2255ML0120740130804790C00_DXXX,2255.7449, 303.8, 0.758, 0.058
2262ML0120920010804933C00_DXXX,2262.3176, 307.8, 1.070, 0.016
2264ML0121110010804991C00_DXXX,2264.6025, 309.1, 0.833, 0.028
2265ML0121170010805119C00_DXXX,2265.6145, 309.7, 0.781, 0.026
2276ML0121200010805126C00_DXXX,2276.5981, 316.3, 0.803, 0.029
2279ML0121280010805132C00_DXXX,2279.3145, 317.9, 1.070, 0.015
2280ML0121340010705204C00_DXXX,2280.4319, 318.5, 1.001, 0.032
2280ML0121360010705207C00_DXXX,2280.6077, 318.6, 0.891, 0.027
2283ML0121430010705217C00_DXXX,2283.2830, 320.2, 0.952, 0.015
2283ML0121480010705223C00_DXXX,2283.4282, 320.3, 1.009, 0.031
2287ML0121630010705264C00_DXXX,2287.5764, 322.7, 1.288, 0.031
2288ML0121860010705271C00_DXXX,2288.4177, 323.2, 1.222, 0.030
2290ML0122020010705308C00_DXXX,2290.3201, 324.3, 1.352, 0.017
2291ML0122060010705314C00_DXXX,2291.4299, 324.9, 1.357, 0.032
2292ML0122150010705325C00_DXXX,2292.5852, 325.6, 1.515, 0.030
2294ML0122260010705346C00_DXXX,2294.5979, 326.7, 1.509, 0.029
2295ML0122270010705351C00_DXXX,2295.4050, 327.2, 1.705, 0.029
2296ML0122400010705378C00_DXXX,2296.5688, 327.8, 1.583, 0.032
2297ML0122480010705410C00_DXXX,2297.6304, 328.4, 1.502, 0.025
2298ML0122510010705417C00_DXXX,2298.2817, 328.8, 1.689, 0.017
2298ML0122510020705418C00_DXXX,2298.2820, 328.8, 1.685, 0.016
2298ML0122580010705422C00_DXXX,2298.6248, 329.0, 1.466, 0.026
2299ML0122700010705491C00_DXXX,2299.6033, 329.6, 1.430, 0.028
2300ML0122790010705565C00_DXXX,2300.5894, 330.1, 1.437, 0.030
2301ML0122840010705583C00_DXXX,2301.4128, 330.6, 1.510, 0.030
2302ML0123000010705825C00_DXXX,2302.6624, 331.3, 1.408, 0.019
2303ML0123020010705831C00_DXXX,2303.2815, 331.6, 1.606, 0.016
2304ML0123140010705877C00_DXXX,2304.5913, 332.4, 1.344, 0.030
2305ML0123160010705883C00_DXXX,2305.6531, 333.0, 1.345, 0.021
2307ML0123250010605973C00_DXXX,2307.4060, 334.0, 1.488, 0.029
2310ML0123370010606023C00_DXXX,2310.3032, 335.6, 1.555, 0.014
2314ML0123590010506237C00_DXXX,2314.5586, 337.9, 1.297, 0.033
2316ML0123700010506269C00_DXXX,2316.6274, 339.0, 1.221, 0.025
2317ML0123720010506275C00_DXXX,2317.3330, 339.4, 1.402, 0.018
2333ML0124120010406484C00_DXXX,2333.5833, 348.2, 1.163, 0.031
2334ML0124130010406489C00_DXXX,2334.3220, 348.6, 1.231, 0.016
2347ML0124530010406659C00_DXXX,2347.6326, 355.6, 0.959, 0.024
2348ML0124550010406698C00_DXXX,2348.3313, 356.0, 1.070, 0.018
2348ML0124600010406893C00_DXXX,2348.6514, 356.2, 0.961, 0.021
2350ML0124690010207145C00_DXXX,2350.6077, 357.2, 0.973, 0.028
2353ML0124820010207193C00_DXXX,2353.4336, 358.6, 1.031, 0.032
2353ML0124830010207198C00_DXXX,2353.6135, 358.7, 0.937, 0.027
2355ML0124920010207373C00_DXXX,2355.3826, 359.6, 1.020, 0.026
2355ML0124930010207378C00_DXXX,2355.7290, 359.8, 0.939, 0.027
2355ML0124930030207379C00_DXXX,2355.7300, 359.8, 0.942, 0.029
2355ML0124930050207380C00_DXXX,2355.7312, 359.8, 0.941, 0.031
2355ML0124930070207381C00_DXXX,2355.7324, 359.8, 0.939, 0.033
2355ML0124930090207382C00_DXXX,2355.7334, 359.8, 0.932, 0.035
2355ML0124930110207383C00_DXXX,2355.7346, 359.8, 0.928, 0.038
2355ML0124930130207384C00_DXXX,2355.7356, 359.8, 0.929, 0.040
2358ML0125020010900077C00_DXXX,2358.3154,   1.1, 0.973, 0.015
2359ML0125100010900274C00_DXXX,2359.6128,   1.8, 0.938, 0.027
2359ML0125110010900276C00_DXXX,2359.6792,   1.8, 0.948, 0.016
2360ML0125120010900278C00_DXXX,2360.2715,   2.1, 0.933, 0.027
2362ML0125250010900331C00_DXXX,2362.4534,   3.2, 0.971, 0.034
2363ML0125320010900353C00_DXXX,2363.6213,   3.8, 0.931, 0.026
2365ML0125380010900430C00_DXXX,2365.3577,   4.7, 0.918, 0.022
2368ML0125560010900472C00_DXXX,2368.4268,   6.3, 0.900, 0.031
2371ML0125700010900674C00_DXXX,2371.3230,   7.7, 0.842, 0.016
2371ML0125750010900755C00_DXXX,2371.5508,   7.8, 0.866, 0.033
2374ML0125900010900946C00_DXXX,2374.5886,   9.4, 0.850, 0.030
2374ML0125940010900952C00_DXXX,2374.6592,   9.4, 0.857, 0.019
2376ML0126280010901088C00_DXXX,2376.4275,  10.3, 0.866, 0.031
2386ML0126670010901155C00_DXXX,2386.3147,  15.1, 0.778, 0.015
2386ML0126730010901165C00_DXXX,2386.6052,  15.3, 0.805, 0.027
2387ML0126750010901204I01_DXXX,2387.4199,  15.7, 0.770, 0.033
2389ML0126840010901208C00_DXXX,2389.5986,  16.8, 0.766, 0.028
2390ML0126880010901373C00_DXXX,2390.7261,  17.3, 0.845, 0.026
2390ML0126880030901374C00_DXXX,2390.7273,  17.3, 0.836, 0.027
2390ML0126880050901375C00_DXXX,2390.7285,  17.3, 0.836, 0.029
2390ML0126880070901376C00_DXXX,2390.7295,  17.3, 0.836, 0.031
2390ML0126880090901377C00_DXXX,2390.7307,  17.3, 0.829, 0.033
2390ML0126880110901378C00_DXXX,2390.7317,  17.3, 0.830, 0.035
2390ML0126880130901379C00_DXXX,2390.7329,  17.3, 0.837, 0.038
2390ML0126880150901380C00_DXXX,2390.7339,  17.3, 0.831, 0.041
2390ML0126880170901381C00_DXXX,2390.7351,  17.3, 0.829, 0.044
2392ML0126920010901385C00_DXXX,2392.3022,  18.1, 0.697, 0.013
2393ML0126950010901394C00_DXXX,2393.6655,  18.7, 0.826, 0.018
2399ML0127060010901469C00_DXXX,2399.6052,  21.6, 0.743, 0.027
2400ML0127070010901474C00_DXXX,2400.2778,  21.9, 0.666, 0.022
2400ML0127090010901479C00_DXXX,2400.5674,  22.1, 0.721, 0.031
2403ML0127400010901500C00_DXXX,2403.6414,  23.5, 0.740, 0.022
2405ML0127540010901543C00_DXXX,2405.5620,  24.5, 0.730, 0.032
2406ML0127550010901548C00_DXXX,2406.3926,  24.9, 0.692, 0.027
2408ML0127700010901608C00_DXXX,2408.6113,  25.9, 0.691, 0.026
2411ML0127810010901721C00_DXXX,2411.5962,  27.3, 0.652, 0.028
2413ML0127860010901798C00_DXXX,2413.3604,  28.2, 0.662, 0.022
2413ML0127910010901824C00_DXXX,2413.6094,  28.3, 0.655, 0.026
2416ML0128170010901901C00_DXXX,2416.6428,  29.7, 0.635, 0.021
2418ML0128180010901903C00_DXXX,2418.3213,  30.5, 0.640, 0.015
2418ML0128190010901908C00_DXXX,2418.5537,  30.6, 0.681, 0.032
2421ML0128280010901925C00_DXXX,2421.2798,  31.9, 0.596, 0.021
2421ML0128290010901930C00_DXXX,2421.6484,  32.1, 0.664, 0.020
2426ML0128480010902068C00_DXXX,2426.2893,  34.2, 0.598, 0.016
2426ML0128500010902107C00_DXXX,2426.6548,  34.4, 0.652, 0.019
2429ML0128640010902284C00_DXXX,2429.7131,  35.8, 0.665, 0.017
2430ML0128660010902287C00_DXXX,2430.5625,  36.2, 0.675, 0.031
2432ML0128980010902291C00_DXXX,2432.4968,  37.1, 0.629, 0.033
2432ML0128990010902368C00_DXXX,2432.6938,  37.2, 0.610, 0.013
2433ML0129000010902370C00_DXXX,2433.3115,  37.5, 0.617, 0.014
2434ML0129070010902501C00_DXXX,2434.7266,  38.2, 0.573, 0.030
2434ML0129070030902502C00_DXXX,2434.7275,  38.2, 0.573, 0.032
2434ML0129070050902503C00_DXXX,2434.7288,  38.2, 0.573, 0.034
2434ML0129070070902504C00_DXXX,2434.7297,  38.2, 0.574, 0.036
2434ML0129070090902505C00_DXXX,2434.7310,  38.2, 0.576, 0.039
2434ML0129070110902506C00_DXXX,2434.7319,  38.2, 0.577, 0.042
2434ML0129070130902507C00_DXXX,2434.7332,  38.2, 0.580, 0.045
2434ML0129070150902508C00_DXXX,2434.7344,  38.2, 0.582, 0.049
2434ML0129070170902509C00_DXXX,2434.7354,  38.2, 0.582, 0.053
2434ML0129070190902510C00_DXXX,2434.7366,  38.2, 0.588, 0.058
2436ML0129180010902604C00_DXXX,2436.5920,  39.0, 0.611, 0.028
2437ML0129230010902622C00_DXXX,2437.5632,  39.5, 0.633, 0.030
2438ML0129280010902656C00_DXXX,2438.5417,  39.9, 0.631, 0.032
2440ML0129370010902675C00_DXXX,2440.3169,  40.8, 0.649, 0.014
